Spec_Num,Isolate_ID,Isolate,Organism,Last_Read_Time,mecA_result,mecA_Repeat
14590,1752,1,S.INT,5/15/2013 10:12,positive,negative
15243,2446,1,S.INT,6/27/2013 9:33,positive,negative
18577,5122,2,S.INT,2/26/2014 12:51,positive,negative
18829,5193,1,S.AUR,3/15/2014 12:54,positive,negative
20281,5805,1,S.INT,6/23/2014 10:32,positive,negative
28917,9048,1,S.INT,1/27/2016 11:28,positive,negative
28929,9050,1,S.INT,1/27/2016 11:29,positive,negative
14808,1980,1,S.INT,5/31/2013 10:02,negative,positive
20034,5718,1,S.INT,6/5/2014 9:36,negative,positive
27889,8655,1,S.INT,11/12/2015 9:43,negative,positive
31022,9733,1,S.INT,6/3/2016 14:03,negative,positive
31062,9743,1,S.INT,6/4/2016 9:23,negative,positive
13736,823,1,S.INT,3/15/2013 10:51,negative,
17115,4442,1,S.INT,10/31/2013 12:24,negative,
17142,4470,1,S.INT,11/2/2013 15:02,negative,
17202,4525,1,S.INT,11/6/2013 11:06,negative,
17201,4524,1,S.INT,11/7/2013 11:29,negative,
18160,4989,1,S.INT,1/24/2014 16:45,negative,
18342,5044,1,S.INT,2/7/2014 14:00,negative,
18634,5135,1,S.INT,2/28/2014 12:31,negative,
20788,5989,1,S.INT,7/25/2014 9:12,negative,
20819,5994,1,S.INT,7/27/2014 12:56,negative,
21077,6101,1,S.INT,8/13/2014 15:41,negative,
21107,6130,1,S.AUR,8/16/2014 10:01,negative,
21125,6128,1,S.INT,8/16/2014 10:09,negative,
21132,6127,1,S.INT,8/16/2014 10:10,negative,
21161,6138,1,S.INT,8/17/2014 7:05,negative,
22166,6616,1,S.INT,10/23/2014 15:56,negative,
22589,6758,1,S.INT,11/20/2014 11:29,negative,
24889,7515,1,S.AUR,5/1/2015 10:36,negative,
25988,7947,3,S.INT,7/23/2015 14:20,negative,
27884,8654,1,S.INT,11/12/2015 9:49,negative,
28925,9049,1,S.INT,1/27/2016 11:31,negative,
28928,9051,1,S.INT,1/27/2016 11:34,negative,
29172,9116,1,S.INT,2/9/2016 5:38,negative,
30877,9693,1,S.INT,5/24/2016 14:44,negative,
16684,3972,1,S.AUR,9/30/2013 3:08,negative,
19075,5299,1,S.AUR,3/31/2014 2:16,negative,
21066,6112,1,S.AUR,8/13/2014 1:40,negative,
21209,6179,1,S.AUR,8/22/2014 1:51,negative,
850N-B MRID,6337,1,S.AUR,5/14/2014 1:53,negative,
618N-B,6364,1,S.AUR,2/16/2015 2:27,negative,
19435,5414,1,S.INT,4/23/2014 4:22,negative,
21969,6518,1,S.INT,10/10/2014 2:18,negative,
22216,6649,1,S.INT,10/27/2014 2:31,negative,
23718,7143,1,S.INT,2/9/2015 3:41,negative,
27655,8548,1,S.INT,10/28/2015 12:50,negative,
27683,8566,1,S.INT,11/2/2015 2:03,negative,
28648,8959,1,S.INT,1/8/2018 1:08,negative,
13581,690,2,S.INT,3/6/2013 12:30,negative,
13614,692,1,S.INT,3/7/2013 4:53,negative,
13624,701,1,S.INT,3/7/2013 4:55,negative,
13626,703,1,S.INT,3/7/2013 4:56,negative,
13631,742,2,S.INT,3/9/2013 5:11,negative,
13708,792,1,S.INT,3/14/2013 10:39,negative,
13699,783,1,S.INT,3/14/2013 10:42,negative,
13786,877,1,S.INT,3/21/2013 11:02,negative,
13811,913,1,S.INT,3/21/2013 11:06,negative,
13878,986,1,S.INT,3/24/2013 16:23,negative,
13942,1059,1,S.INT,3/29/2013 11:23,negative,
14034,1152,1,S.INT,4/5/2013 11:31,negative,
14058,1179,1,S.AUR,4/9/2013 11:41,negative,
14179,1316,1,S.INT,4/18/2013 9:30,negative,
14359,1499,1,S.INT,4/28/2013 14:39,negative,
14371,1511,1,S.INT,4/28/2013 14:42,negative,
14372,1512,1,S.INT,4/28/2013 14:44,negative,
14420,1563,1,S.INT,5/3/2013 11:09,negative,
14477,1627,1,S.AUR,5/9/2013 11:58,negative,
14500,1650,1,S.AUR,5/9/2013 12:01,negative,
14511,1661,1,S.INT,5/10/2013 9:52,negative,
14467,1710,2,S.INT,5/11/2013 7:53,negative,
14593,1755,1,S.INT,5/15/2013 10:10,negative,
14608,1770,1,S.INT,5/16/2013 9:59,negative,
14635,1800,1,S.AUR,5/18/2013 8:50,negative,
14696,1863,1,S.INT,5/23/2013 11:34,negative,
14731,1901,1,S.INT,5/24/2013 12:02,negative,
14779,1949,1,S.INT,5/27/2013 12:43,negative,
14771,1941,1,S.INT,5/28/2013 12:09,negative,
14806,1978,1,S.INT,5/31/2013 9:59,negative,
14844,2017,1,S.INT,6/3/2013 16:21,negative,
14835,2008,1,S.AUR,6/3/2013 16:23,negative,
14849,2021,1,S.INT,6/4/2013 9:32,negative,
14878,2053,1,S.INT,6/6/2013 10:34,negative,
14930,2167,4,S.AUR,6/11/2013 11:40,negative,
14981,2163,1,S.INT,6/11/2013 11:47,negative,
14977,2159,1,S.INT,6/11/2013 11:50,negative,
14960,2168,2,S.INT,6/12/2013 12:23,negative,
14997,2185,1,S.INT,6/13/2013 12:47,negative,
14998,2186,1,S.INT,6/13/2013 12:48,negative,
15010,2198,1,S.INT,6/13/2013 12:52,negative,
15012,2200,1,S.INT,6/14/2013 8:46,negative,
15004,2192,1,S.INT,6/14/2013 8:48,negative,
15035,2223,1,S.INT,6/15/2013 19:22,negative,
15112,2308,1,S.INT,6/19/2013 11:17,negative,
15147,2343,1,S.INT,6/20/2013 11:29,negative,
15138,2368,2,S.INT,6/21/2013 11:40,negative,
15135,2331,1,S.INT,6/22/2013 9:07,negative,
15197,2396,1,S.INT,6/23/2013 9:03,negative,
15190,2389,1,S.INT,6/23/2013 9:06,negative,
15166,2362,1,S.INT,6/23/2013 9:09,negative,
15176,2375,1,S.INT,6/25/2013 9:38,negative,
15252,2455,1,S.INT,6/27/2013 9:35,negative,
15325,2535,1,S.INT,7/3/2013 11:33,negative,
15336,2546,1,S.AUR,7/4/2013 10:39,negative,
15340,2550,1,S.INT,7/5/2013 8:30,negative,
15363,2573,1,S.INT,7/5/2013 8:38,negative,
15357,2567,1,S.INT,7/5/2013 8:39,negative,
15342,2552,1,S.AUR,7/5/2013 8:47,negative,
15354,2564,1,S.INT,7/7/2013 8:36,negative,
15407,2620,1,S.INT,7/10/2013 9:38,negative,
15415,2628,1,S.INT,7/10/2013 9:40,negative,
15434,2648,1,S.INT,7/11/2013 9:45,negative,
15426,2640,1,S.INT,7/11/2013 9:47,negative,
15427,2666,2,S.INT,7/12/2013 10:41,negative,
15439,2654,1,S.INT,7/12/2013 10:44,negative,
15512,2749,2,S.INT,7/18/2013 10:38,negative,
15550,2776,1,S.AUR,7/20/2013 9:40,negative,
15551,2777,1,S.AUR,7/20/2013 9:42,negative,
15529,2755,1,S.INT,7/21/2013 6:07,negative,
15779,3017,1,S.AUR,8/2/2013 12:10,negative,
15780,3018,1,S.INT,8/2/2013 12:13,negative,
15775,3013,1,S.INT,8/2/2013 12:16,negative,
15752,2989,1,S.PSE,8/2/2013 16:05,negative,
15832,3073,1,S.INT,8/4/2013 14:57,negative,
15750,2987,1,S.INT,8/4/2013 15:00,negative,
15892,3136,1,S.INT,8/8/2013 12:35,negative,
15901,3148,1,S.INT,8/9/2013 11:55,negative,
15991,3291,3,S.AUR,8/18/2013 11:10,negative,
16034,3288,1,S.INT,8/18/2013 11:13,negative,
16036,3290,1,S.INT,8/20/2013 10:16,negative,
16048,3309,1,S.INT,8/21/2013 10:13,negative,
16067,3327,1,S.INT,8/22/2013 10:38,negative,
16118,3379,1,S.INT,8/23/2013 12:12,negative,
16154,3417,1,S.INT,8/25/2013 12:16,negative,
16219,3483,1,S.INT,8/29/2013 12:02,negative,
16304,3576,1,S.AUR,9/5/2013 11:43,negative,
16327,3599,1,S.INT,9/6/2013 12:12,negative,
16333,3605,1,S.INT,9/7/2013 11:30,negative,
16387,3663,1,S.INT,9/11/2013 12:45,negative,
16425,3702,1,S.INT,9/13/2013 10:47,negative,
16438,3715,1,S.INT,9/13/2013 16:51,negative,
16520,3803,1,S.INT,9/18/2013 10:51,negative,
16527,3810,1,S.INT,9/18/2013 10:52,negative,
16517,3800,1,S.INT,9/19/2013 12:24,negative,
16532,3816,1,S.INT,9/20/2013 9:57,negative,
16553,3836,1,S.INT,9/20/2013 9:58,negative,
16536,3820,1,S.AUR,9/20/2013 10:00,negative,
16611,3895,1,S.INT,9/22/2013 13:17,negative,
16606,3890,1,S.INT,9/23/2013 9:53,negative,
16666,3948,1,S.AUR,9/26/2013 12:17,negative,
16654,3939,1,S.INT,9/26/2013 12:27,negative,
16700,3991,1,S.AUR,9/29/2013 9:34,negative,
16688,3976,1,S.INT,9/30/2013 15:12,negative,
16738,4032,1,S.INT,10/4/2013 10:01,negative,
16756,4054,1,S.AUR,10/6/2013 16:13,negative,
16751,4095,2,S.INT,10/6/2013 16:19,negative,
16768,4066,1,S.INT,10/6/2013 16:22,negative,
16843,4146,1,S.INT,10/10/2013 9:55,negative,
16828,4131,1,S.INT,10/10/2013 16:52,negative,
